Crystal Lopez,25,F,94739 Mark Way,South Kristaview,+75(8)7643159817,66104.5591982,292.974789795,Moderately crowded,Married
Andrew Howard,22,M,45667 Susan Hills Suite 096,Lake Kim,678-749-1529x42153,69863.8246589,107.839138941,Not crowded,Married
Patrick Holmes,58,M,264 Henderson Shore,North Timothy,(868)918-8668,92975.5034125,828.533200174,Very crowded,Single
Briana Marshall,24,F,8362 Yu Throughway,North Michael,(516)735-4703,89666.0066095,594.675926773,Very crowded,Single
Karen Rush,33,F,0348 Fisher Flats Apt. 731,Edwardston,(570)496-2514,41184.7533077,-45.8825706557,Very crowded,Single
Clifford Allen,44,M,792 Kelly Courts Suite 429,Davidhaven,798-812-5053,105615.497892,47.6405225214,Very crowded,Single
Kevin Jacobson,52,M,117 Rojas Islands,Lake Javierstad,09339571341,106850.76215,286.713759376,Very crowded,Married
Brian Collins,21,M,943 Mullins Bypass,North Christopherburgh,977-000-6663,58076.5128711,196.698334818,Moderately crowded,Married
Jordan Ramirez,34,M,48516 Mark Rest,South Susanmouth,1-945-114-4154x7585,118339.143441,555.301513732,Very crowded,Single
Kenneth Mason,23,M,88430 Burke Road Apt. 398,Miguelburgh,1-446-061-4295,42317.7053141,314.949122572,Moderately crowded,Single
Kirsten Andrews,28,F,7570 Keller Shoals,Nealland,(006)278-2642,89017.9783046,-431.729947627,Moderately crowded,Single
Harold Hale,36,M,758 Martin Summit Suite 920,Lake Tami,900.001.4192,114188.257461,-97.5054843257,Not crowded,Single
Linda Figueroa,34,F,45553 Vincent Throughway Apt. 311,West Angela,713-712-9678,54594.2571288,355.740516567,Moderately crowded,Married
Catherine Mccall,24,F,61011 Flores Highway Apt. 065,West Karen,324-068-2711x93791,108523.970669,-545.369945895,Moderately crowded,Single
Kayla Cruz,56,F,167 Kennedy Haven Apt. 678,Pattonchester,(142)160-0939,79998.1365534,61.244599048,Moderately crowded,Married
Cynthia Lucas,45,F,9998 Matthew Pines Suite 227,New Sean,(996)262-9460,137714.323503,215.356134756,Very crowded,Married
Bryan Fleming,46,M,22860 Ryan Gardens Suite 292,Port Jessicaberg,258.106.5383,90221.1791944,-64.9468124907,Moderately crowded,Married
Cynthia Shelton,33,F,830 Dale Stream Apt. 623,Hernandezfort,798-918-0231x73505,125343.616857,509.668871703,Moderately crowded,Married
Angela Wiley,40,F,5484 Jarvis Stream,Ballardfurt,01139844158,15336.7311597,-782.365804431,Moderately crowded,Single
