id,name,age,gender,street_address,city,state,salary,spending_per_night,crowding_pref,relationship_status
1,Edward Garcia,36,M,0857 Waters Via Apt. 398,South Yvonne,OR,142836,143,Very crowded,In a relationship
2,Douglas Vargas,49,M,6937 Hernandez Circle,Griffinmouth,VA,138914,95,Not crowded,Single
3,Patricia Walker,32,F,46405 Lindsay Shore Suite 636,Elizabethport,GU,64813,41,Moderately crowded,In a relationship
4,Danielle Price,48,F,866 Michael Ports,East Melanieshire,LA,145955,64,Moderately crowded,Single
5,Ashley Johnston,57,F,538 Davila Falls Apt. 270,Williamsland,VT,78513,16,Not crowded,In a relationship
6,Scott Cochran,59,M,1436 Deborah Mountains,Michaelchester,GA,8488,0,Not crowded,Single
7,Terry Cummings,54,M,0084 Wallace Flats Apt. 518,Port Cristiantown,NY,161540,95,Not crowded,In a relationship
8,Steven Jensen,38,M,4086 Casey Plaza Suite 941,Lake Troy,IA,153287,157,Moderately crowded,In a relationship
9,Thomas Brennan,54,M,9544 Martha Mission Suite 565,Grimesshire,MD,133416,105,Not crowded,Single
10,Kevin Yang,25,M,46854 Smith Hollow Suite 460,Brianport,IL,102632,10,Moderately crowded,In a relationship
11,Cheryl Johnson,32,F,14670 Justin Road Suite 354,Jonesview,OR,72625,67,Not crowded,Single
12,Rachel Rice,53,F,82371 Levy Forest,Nicoleton,AS,38478,20,Not crowded,In a relationship
13,Christopher Hunt,24,M,916 Johnson Freeway,Richardsonmouth,MA,58798,26,Moderately crowded,In a relationship
14,Joshua Gonzalez,51,M,4856 Donald Inlet Suite 500,South Kelsey,MH,121907,42,Moderately crowded,Single
15,Kenneth Smith,23,M,216 Bryan Crest Apt. 512,Youngtown,WA,58194,6,Very crowded,Single
16,Karen Fleming,42,F,80937 Ross Prairie Apt. 704,Tylertown,NJ,115540,8,Moderately crowded,Single
17,Audrey Walker,60,F,7229 Amy Village,Lawrencebury,IA,35934,23,Not crowded,In a relationship
18,Alexander Kelley,53,M,421 Roy Crossing,Lake Catherineville,AK,54945,17,Not crowded,In a relationship
19,Dylan Weaver,45,M,004 Peters Ways,Lake Shannon,NJ,100977,45,Not crowded,Single
20,Susan Burns,48,F,22438 Jill Ridge Suite 991,Sharonmouth,MT,105228,26,Not crowded,In a relationship
21,Rebecca Whitney,52,F,75263 Brown Islands Suite 434,Ryanside,PA,124429,14,Not crowded,Single
22,Lisa Jimenez,52,F,4155 Ward Centers Suite 119,Schaeferside,AZ,126070,12,Moderately crowded,Single
23,Laura West,25,F,5949 Martinez Alley,Kristinefurt,NH,93712,53,Very crowded,Single
24,Rebecca Burns,54,F,855 Pierce Crossroad,West Angela,RI,210327,158,Not crowded,Single
25,Adam Anderson,54,M,4462 Heather Glen Suite 952,West Andrew,PA,12090,13,Moderately crowded,In a relationship
26,Kristen Hardin,47,F,45659 Lisa Track Suite 066,West Diana,MI,52603,21,Not crowded,Single
27,Christina Knight,41,F,0356 George Creek Suite 475,North Kathleenton,DE,139915,5,Very crowded,In a relationship
28,Meagan Munoz,52,F,66843 Hunter Via,Meganville,AS,158732,172,Not crowded,Single
29,Nicole Jackson,48,F,008 Dennis Crossroad Suite 343,New Tylermouth,MO,156014,109,Not crowded,Single
